Warehouse	Query	Time	Cost	Log Time	Log Time Bin	Time Bin	Cents	Log Cents	Log Cents Bin	Cents Bin
Redshift	query/query24.sql	56.587	0.1699825258	5.822398749	6	64	16.99825258	4.08731454	5	32
Redshift	query/query25.sql	6.278	0.01885857701	2.650305029	3	8	1.885857701	0.9152208202	1	2
Redshift	query/query26.sql	2.959	0.008888583843	1.565109697	2	4	0.8888583843	-0.1699745122	0	1
Redshift	query/query27.sql	4.704	0.01413041514	2.23388806	3	8	1.413041514	0.4988038514	1	2
Redshift	query/query28.sql	8.932	0.02683096684	3.158983251	4	16	2.683096684	1.423899042	2	4
Redshift	query/query29.sql	5.223	0.01568944691	2.384878704	3	8	1.568944691	0.649794495	1	2
Redshift	query/query2.sql	0.301	0.0009041783497	-1.732164608	-1	0.5	0.09041783497	-3.467248817	-3	0.125
Redshift	query/query30.sql	1.433	0.004304609884	0.5190386096	1	2	0.4304609884	-1.216045599	-1	0.5
Redshift	query/query31.sql	13.314	0.03999412142	3.734872168	4	16	3.999412142	1.999787959	2	4
Redshift	query/query32.sql	2.24	0.006728769114	1.163498732	2	4	0.6728769114	-0.5715854765	0	1
Redshift	query/query33.sql	5.941	0.01784625773	2.570705789	3	8	1.784625773	0.8356215798	1	2
Redshift	query/query34.sql	2.737	0.008221714761	1.452595435	2	4	0.8221714761	-0.2824887741	0	1
Redshift	query/query35.sql	11.277	0.03387514701	3.495311416	4	16	3.387514701	1.760227207	2	4
Redshift	query/query36.sql	3.767	0.01131574699	1.913416033	2	4	1.131574699	0.1783318245	1	2
Redshift	query/query37.sql	2.451	0.007362595133	1.293370484	2	4	0.7362595133	-0.4417137246	0	1
Redshift	query/query38.sql	13.141	0.03947444416	3.716003161	4	16	3.947444416	1.980918952	2	4
Redshift	query/query39.sql	9.039	0.02715238572	3.176163174	4	16	2.715238572	1.441078965	2	4
Redshift	query/query3.sql	2.476	0.007437693003	1.308011315	2	4	0.7437693003	-0.4270728942	0	1
Redshift	query/query40.sql	14.139	0.04247235112	3.821608182	4	16	4.247235112	2.086523973	3	8
Redshift	query/query41.sql	0.325	0.0009762723045	-1.621488377	-1	0.5	0.09762723045	-3.356572586	-3	0.125
Redshift	query/query42.sql	2.019	0.006064903947	1.013640911	2	4	0.6064903947	-0.7214432981	0	1
Redshift	query/query43.sql	3.221	0.009675609516	1.687508661	2	4	0.9675609516	-0.04757554804	0	1
Redshift	query/query44.sql	4.194	0.0125984186	2.068326861	3	8	1.25984186	0.3332426527	1	2
Redshift	query/query45.sql	5.312	0.01595679533	2.409255147	3	8	1.595679533	0.6741709379	1	2
Redshift	query/query46.sql	5.26	0.01580059176	2.3950628	3	8	1.580059176	0.6599785908	1	2
Redshift	query/query47.sql	8.984	0.02698717041	3.167357928	4	16	2.698717041	1.432273719	2	4
Redshift	query/query48.sql	8.65	0.02598386287	3.112700133	4	16	2.598386287	1.377615924	2	4
Redshift	query/query49.sql	5.76	0.01730254915	2.526068812	3	8	1.730254915	0.7909846029	1	2
Redshift	query/query4.sql	92.835	0.2788684289	6.536596918	7	128	27.88684289	4.801512709	5	32
Redshift	query/query50.sql	7.63	0.02291986979	2.931683057	3	8	2.291986979	1.196598848	2	4
Redshift	query/query51.sql	19.468	0.058480213	4.283032775	5	32	5.8480213	2.547948566	3	8
Redshift	query/query52.sql	2.133	0.006407350232	1.092883966	2	4	0.6407350232	-0.6422002431	0	1
Redshift	query/query53.sql	2.636	0.007918319368	1.39835037	2	4	0.7918319368	-0.3367338384	0	1
Redshift	query/query54.sql	5.189	0.01558731381	2.375456536	3	8	1.558731381	0.6403723271	1	2
Redshift	query/query55.sql	1.977	0.005938739526	0.9833128711	1	2	0.5938739526	-0.7517713377	0	1
Redshift	query/query56.sql	5.918	0.01777716769	2.565109697	3	8	1.777716769	0.8300254878	1	2
Redshift	query/query57.sql	7.948	0.0238751147	2.990591873	3	8	2.38751147	1.255507664	2	4
Redshift	query/query58.sql	3.713	0.01115353559	1.892585315	2	4	1.115353559	0.1575011064	1	2
Redshift	query/query59.sql	0.904	0.002715538964	-0.1456053222	0	1	0.2715538964	-1.880689531	-1	0.5
Redshift	query/query5.sql	35.746	0.1073779378	5.159709907	6	64	10.73779378	3.424625699	4	16
Redshift	query/query60.sql	7.663	0.02301899898	2.937909306	3	8	2.301899898	1.202825097	2	4
Redshift	query/query61.sql	0.753	0.002261947832	-0.40927823	0	1	0.2261947832	-2.144362439	-2	0.25
Redshift	query/query62.sql	4.552	0.01367382009	2.186500558	3	8	1.367382009	0.4514163489	1	2
Redshift	query/query63.sql	2.823	0.008480051432	1.497229129	2	4	0.8480051432	-0.23785508	0	1
Redshift	query/query64.sql	32.324	0.09709854145	5.014533833	6	64	9.709854145	3.279449625	4	16
Redshift	query/query65.sql	9.202	0.02764202383	3.201947456	4	16	2.764202383	1.466863248	2	4
Redshift	query/query66.sql	18.5	0.05557242349	4.209453366	5	32	5.557242349	2.474369157	3	8
Redshift	query/query67.sql	77.858	0.2338787972	6.28277338	7	128	23.38787972	4.547689172	5	32
Redshift	query/query68.sql	16.541	0.04968775443	4.047974551	5	32	4.968775443	2.312890343	3	8
Redshift	query/query69.sql	15.132	0.0454552385	3.919530776	4	16	4.54552385	2.184446568	3	8
Redshift	query/query6.sql	16.208	0.0486874508	4.018634174	5	32	4.86874508	2.283549965	3	8
Redshift	query/query70.sql	12.405	0.03726356288	3.63284983	4	16	3.726356288	1.897765621	2	4
Redshift	query/query71.sql	13.437	0.04036360294	3.748139167	4	16	4.036360294	2.013054958	3	8
Redshift	query/query72.sql	37.307	0.1120670488	5.221374447	6	64	11.20670488	3.486290238	4	16
Redshift	query/query73.sql	5.111	0.01535300846	2.353605591	3	8	1.535300846	0.6185213826	1	2
Redshift	query/query74.sql	209.108	0.6281426124	7.708104447	8	256	62.81426124	5.973020238	6	64
Redshift	query/query75.sql	57.148	0.171667722	5.836631104	6	64	17.1667722	4.101546896	5	32
Redshift	query/query76.sql	18.504	0.05558443914	4.209765266	5	32	5.558443914	2.474681057	3	8
Redshift	query/query77.sql	21.743	0.06531411913	4.442479105	5	32	6.531411913	2.707394897	3	8
Redshift	query/query78.sql	179.437	0.5390134569	7.487333595	8	256	53.90134569	5.752249386	6	64
